hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,134,2017,July,32,20,2,9,2,1,0,BB,Other,Offline TA/TO,GDS,0,0,0,F,F,1,No Deposit,397,846.0,10,Transient-Party,149.46,1,0,Canceled,2015-09-10
City Hotel,1,53,2017,September,31,23,0,2,4,1,0,Undefined,ITA,Corporate,Direct,1,1,2,F,G,0,No Deposit,62,703.0,12,Transient-Party,149.46,2,2,Check-Out,2016-07-02
Resort Hotel,0,301,2016,March,22,16,0,2,4,0,1,HB,Other,Online TA,Corporate,0,0,1,A,G,0,No Deposit,306,984.0,5,Transient-Party,149.46,1,0,No-Show,2017-04-05
City Hotel,1,143,2015,July,11,17,0,1,1,2,1,FB,USA,Corporate,GDS,1,0,2,G,G,3,Non Refund,97,53.0,11,Contract,149.46,0,5,Canceled,2017-02-20
City Hotel,0,52,2017,February,45,4,3,2,3,1,0,HB,Other,Direct,TA/TO,1,0,0,C,A,3,Refundable,483,561.0,6,Contract,149.46,2,4,Canceled,2016-08-01
Resort Hotel,0,39,2015,January,14,25,3,7,1,0,0,FB,USA,Online TA,TA/TO,1,1,1,B,B,2,No Deposit,150,565.0,2,Transient,149.46,0,3,No-Show,2016-11-30
Resort Hotel,1,195,2015,November,42,15,3,7,4,2,1,SC,USA,Online TA,Corporate,0,1,4,F,A,4,Refundable,15,96.0,18,Contract,149.46,0,1,Check-Out,2015-10-20
City Hotel,0,126,2015,December,12,15,1,5,1,0,0,SC,USA,Direct,Corporate,0,2,2,A,D,0,Non Refund,436,485.0,18,Transient-Party,149.46,0,3,Canceled,2016-11-02
Resort Hotel,0,276,2016,January,38,15,4,4,2,2,1,Undefined,USA,Offline TA/TO,Corporate,0,0,2,A,C,0,Refundable,262,472.0,18,Transient-Party,149.46,2,4,Canceled,2015-02-20
City Hotel,0,319,2016,October,22,29,3,7,2,1,1,HB,FRA,Online TA,TA/TO,1,2,0,B,C,1,No Deposit,104,917.0,7,Contract,149.46,1,1,Canceled,2017-08-25
